BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04020904;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;85.7076923;37;48.7076923;0;0;0;0;2;38;33;20;352;405060;84664;241;0;0;376988.681;0;0;0;0;0;50;5268
BU04020905;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;567.946154;134;433.946154;0;0;0;0;2;23;27;20;1959;1575722;420532;215;0;0;1410634.74;0;0;0;0;0;221;5269
BU04020906;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;9.47692308;6;3.47692308;0;0;0;0;9;19;52;5;40;76228;15352;388;0;0;77778.6771;0;0;0;0;0;8;5270
BU04020907;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;23.8769231;4;19.8769231;0;0;0;0;7;44;27;2;61;84822;15749;258;0;0;74347.4631;0;0;0;0;0;11;5271
BU04060001;WK040600;Huizen;Noord-Holland Zuid;Noord-Holland;;2155.90769;1673;482.907692;0;0;0;0;2;22;30;1096;6000;5606540;2022114;337;0;0;4558294.43;0;0;0;0;0;1902;5346
BU04060002;WK040600;Huizen;Noord-Holland Zuid;Noord-Holland;;1327.33077;1250;77.3307692;0;0;0;0;2;14;33;935;3667;3321849;1406535;384;0;0;2733283.79;0;0;0;0;0;1316;5347
BU04060103;WK040601;Huizen;Noord-Holland Zuid;Noord-Holland;;1108.48462;1008;100.484615;0;0;0;0;2;13;35;580;3222;3029876;1247590;387;0;0;2581485.87;0;0;0;0;0;1042;5348
BU04060204;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;94.0923077;94;0.0923076923;0;0;0;0;3;12;55;60;388;506847;180941;466;0;0;486093.027;0;0;0;0;0;96;5349
BU04060205;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;144.846154;109;35.8461538;0;0;0;0;2;23;43;55;630;611484;197448;313;0;0;561868.032;0;0;0;0;0;113;5350
BU04060206;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;360.592308;149;211.592308;0;0;0;0;2;25;39;95;1779;1403020;377561;212;0;0;1305131.98;0;0;0;0;0;165;5351
BU04060307;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;34.8923077;32;2.89230769;0;0;0;0;3;13;50;26;139;180241;66471;479;0;0;172580.99;0;0;0;0;0;35;5352
BU04060308;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;66.8307692;63;3.83076923;0;0;0;0;3;13;52;48;275;309374;116899;425;0;0;290250.167;0;0;0;0;0;69;5353
