BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04020903;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;488.438462;19;469.438462;0;36;0;0;1;39;62;49;3207;1835649;509584;159;0;0;1572309.05;0;0;54;0;0;0;5267
BU04020904;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;85.7076923;37;48.7076923;0;33;0;0;2;41;50;30;352;403941;83545;238;0;0;337930.808;0;0;50;0;0;0;5268
BU04020905;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;567.946154;134;433.946154;0;29;0;0;2;26;44;32;1959;1962218;807028;412;0;0;1496121.02;0;0;221;0;0;0;5269
BU04020906;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;9.47692308;6;3.47692308;0;52;0;0;9;22;70;7;40;73158;12282;311;0;0;59852.129;0;0;8;0;0;0;5270
BU04020907;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;23.8769231;4;19.8769231;0;27;0;0;7;46;38;3;61;106883;37810;621;0;0;79090.2866;0;0;11;0;0;0;5271
BU04060001;WK040600;Huizen;Noord-Holland Zuid;Noord-Holland;;2155.90769;1673;482.907692;0;29;0;0;2;24;41;1498;6000;5778246;2193820;366;0;0;4113457.3;0;0;1902;0;0;0;5346
BU04060002;WK040600;Huizen;Noord-Holland Zuid;Noord-Holland;;1327.33077;1250;77.3307692;0;31;0;0;2;16;43;1218;3667;3214594;1299280;354;0;0;2190229.76;0;0;1316;0;0;0;5347
BU04060103;WK040601;Huizen;Noord-Holland Zuid;Noord-Holland;;1108.48462;1008;100.484615;0;34;0;0;2;15;47;779;3222;3004091;1221805;379;0;0;1999766.26;0;0;1042;0;0;0;5348
BU04060204;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;94.0923077;94;0.0923076923;0;54;0;0;3;14;72;78;388;484943;159037;410;0;0;338288.512;0;0;96;0;0;0;5349
BU04060205;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;144.846154;109;35.8461538;0;42;0;0;2;26;61;78;630;614991;200955;319;0;0;454179.948;0;0;113;0;0;0;5350
