BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas
BU04020606;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;216.623077;204;12.6230769;34;0;0;0;2;12;34;406;0;318698;0;0;401148.231;286731.933;236040.816;208;0;0;0;0;0
BU04020701;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;1031.49231;890;141.492308;51;0;0;0;2;15;51;1592;0;1548205;0;0;2438983.9;1230890.51;1099553.5;928;0;0;0;0;0
BU04020702;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;811.992308;767;44.9923077;48;0;0;0;2;14;48;1703;0;1065553;0;0;1967093.21;1063187.41;681354.508;849;0;0;0;0;0
BU04020703;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;3926.90769;3684;242.907692;35;0;0;0;1;12;35;1474;0;4119618;0;0;7079903.63;4639720.72;2260514.89;3960;0;0;0;0;0
BU04020704;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;20.1307692;9;11.1307692;57;0;0;0;2;38;57;46;0;61293;0;0;36506.8996;12972.0409;53638.3174;11;0;0;0;0;0
BU04020801;WK040208;Hilversum;Noord-Holland Zuid;Noord-Holland;;1889.7;1827;62.7;42;0;0;0;2;12;42;769;0;2424014;0;0;4229294.18;2599047.88;1572754.69;1913;0;0;0;0;0
BU04020901;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;93.4538462;12;81.4538462;46;0;0;0;4;36;46;6;0;415161;0;0;42480.4392;16810.5262;401542.401;34;0;0;0;0;0
BU04020902;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;15.5769231;0;15.5769231;30;0;0;0;5;43;30;7;0;63019;0;0;0;0;59127.7852;5;0;0;0;0;0
BU04020903;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;488.438462;19;469.438462;117;0;0;0;1;33;117;92;0;1326065;0;0;61780.3046;26502.0107;1177529.98;54;0;0;0;0;0
BU04020904;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;85.7076923;37;48.7076923;73;0;0;0;2;38;73;43;0;320396;0;0;142294.499;53404.6098;290024.426;50;0;0;0;0;0
BU04020905;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;567.946154;134;433.946154;62;0;0;0;2;23;62;45;0;1155190;0;0;348767.282;182005.602;982126.203;221;0;0;0;0;0
BU04020906;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;9.47692308;6;3.47692308;75;0;0;0;9;19;75;7;0;60876;0;0;23012.8696;9005.93308;62378.4618;8;0;0;0;0;0
BU04020907;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;23.8769231;4;19.8769231;46;0;0;0;7;44;46;4;0;69073;0;0;13215.9438;5583.88889;57850.2834;11;0;0;0;0;0
BU04060001;WK040600;Huizen;Noord-Holland Zuid;Noord-Holland;;2155.90769;1673;482.907692;50;0;0;0;2;22;50;1826;0;3584426;0;0;4400015.55;2290740.45;2512465.68;1902;0;0;0;0;0
BU04060002;WK040600;Huizen;Noord-Holland Zuid;Noord-Holland;;1327.33077;1250;77.3307692;49;0;0;0;2;14;49;1388;0;1915314;0;0;3328715.88;1738743.47;1320581.2;1316;0;0;0;0;0
BU04060103;WK040601;Huizen;Noord-Holland Zuid;Noord-Holland;;1108.48462;1008;100.484615;52;0;0;0;2;13;52;862;0;1782286;0;0;2888313.37;1444764.41;1328894.97;1042;0;0;0;0;0
BU04060204;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;94.0923077;94;0.0923076923;74;0;0;0;3;12;74;81;0;325906;0;0;387944.81;141194.861;304873.647;96;0;0;0;0;0
BU04060205;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;144.846154;109;35.8461538;78;0;0;0;2;23;78;100;0;414036;0;0;416832.364;160540.996;362480.862;113;0;0;0;0;0
BU04060206;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;360.592308;149;211.592308;88;0;0;0;2;25;88;214;0;1025459;0;0;628673.07;221860;921493.608;165;0;0;0;0;0
BU04060307;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;34.8923077;32;2.89230769;71;0;0;0;3;13;71;37;0;113770;0;0;125401.902;46962.044;105995.12;35;0;0;0;0;0
BU04060308;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;66.8307692;63;3.83076923;74;0;0;0;3;13;74;68;0;192475;0;0;250845.364;92540.4796;173126.211;69;0;0;0;0;0
BU04060327;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;8.36153846;7;1.36153846;63;0;0;0;5;20;63;6;0;52533;0;0;27453.9897;10353.2711;52186.5922;9;0;0;0;0;0
BU04060328;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;1.27692308;1;0.276923077;60;0;0;0;5;25;60;1;0;7490;0;0;3899.68707;1497.04444;6521.63396;2;0;0;0;0;0
BU04060329;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;35.4307692;4;31.4307692;40;0;0;0;1;24;40;42;0;67757;0;0;13755.2557;5704.33733;59150.2098;7;0;0;0;0;0
BU04060330;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;42.9153846;42;0.915384615;64;0;0;0;3;12;64;320;0;104832;0;0;148216.534;62490.7835;92236.1432;44;0;0;0;0;0
BU04060409;WK040604;Huizen;Noord-Holland Zuid;Noord-Holland;;246.461538;244;2.46153846;66;0;0;0;2;12;66;869;0;453603;0;0;897620.604;360447.754;354969.261;247;0;0;0;0;0
BU04060410;WK040604;Huizen;Noord-Holland Zuid;Noord-Holland;;1090.51538;980;110.515385;52;0;0;0;2;13;52;661;0;1696907;0;0;2762167.4;1353528.65;1240497.47;1030;0;0;0;0;0
BU04060511;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;466.261538;359;107.261538;40;0;0;0;2;17;40;650;0;614367;0;0;753780.17;464730.066;410436.868;378;0;0;0;0;0
BU04060512;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;209.992308;34;175.992308;46;0;0;0;3;38;46;166;0;452472;0;0;47719.0461;40097.096;359119.657;65;0;0;0;0;0
BU04060513;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;1131.62308;232;899.623077;38;0;0;0;1;41;38;686;0;2600821;0;0;437006.157;307007.782;2083456.85;360;0;0;0;0;0
BU04060614;WK040606;Huizen;Noord-Holland Zuid;Noord-Holland;;1665.47692;1331;334.476923;37;0;0;0;2;16;37;1494;0;2040719;0;0;2521402.64;1728785.92;1298857.45;1428;0;0;0;0;0
BU04060615;WK040606;Huizen;Noord-Holland Zuid;Noord-Holland;;607.546154;559;48.5461538;45;0;0;0;2;14;45;1358;0;810880;0;0;1324606.3;754513.658;530304.049;604;0;0;0;0;0
BU04060716;WK040607;Huizen;Noord-Holland Zuid;Noord-Holland;;1821.89231;1599;222.892308;42;0;0;0;2;16;42;968;0;2509981;0;0;3724444.34;2250573.49;1588727;1888;0;0;0;0;0
BU04060817;WK040608;Huizen;Noord-Holland Zuid;Noord-Holland;;1581.76154;1453;128.761538;39;0;0;0;2;14;39;985;0;2006831;0;0;3158715.31;2090350.17;1247378.23;1621;0;0;0;0;0
BU04060818;WK040608;Huizen;Noord-Holland Zuid;Noord-Holland;;1582.82308;1366;216.823077;34;0;0;0;1;16;34;1312;0;1869613;0;0;2772439.53;1794941.09;1124261.1;1446;0;0;0;0;0
BU04060919;WK040609;Huizen;Noord-Holland Zuid;Noord-Holland;;1437.36923;1409;28.3692308;37;0;0;0;2;11;37;1257;0;1567167;0;0;2878748.31;1858929.18;909967.139;1469;0;0;0;0;0
BU04061020;WK040610;Huizen;Noord-Holland Zuid;Noord-Holland;;778.253846;750;28.2538462;37;0;0;0;1;11;37;1071;0;848631;0;0;1505304.58;978934.764;499935.883;778;0;0;0;0;0
BU04061021;WK040610;Huizen;Noord-Holland Zuid;Noord-Holland;;222.569231;221;1.56923077;42;0;0;0;2;12;42;940;0;276717;0;0;516453.567;315762.93;172957.739;233;0;0;0;0;0
BU04061123;WK040611;Huizen;Noord-Holland Zuid;Noord-Holland;;1492.73077;1478;14.7307692;38;0;0;0;1;11;38;1065;0;1684547;0;0;3154226.78;2022703.88;1012808.55;1513;0;0;0;0;0
BU04061124;WK040611;Huizen;Noord-Holland Zuid;Noord-Holland;;911.446154;821;90.4461538;33;0;0;0;1;14;33;1944;0;920330;0;0;1450736.47;987115.153;484934.91;879;0;0;0;0;0
BU04061125;WK040611;Huizen;Noord-Holland Zuid;Noord-Holland;;622.346154;593;29.3461538;35;0;0;0;1;11;35;741;0;669415;0;0;1142772.48;766131.19;395888.399;601;0;0;0;0;0
BU04061226;WK040612;Huizen;Noord-Holland Zuid;Noord-Holland;;822.530769;801;21.5307692;38;0;0;0;2;11;38;840;0;995866;0;0;1703065.64;1108290.76;640449.491;811;0;0;0;0;0
BU04061231;WK040612;Huizen;Noord-Holland Zuid;Noord-Holland;;120;120;0;44;0;0;0;2;11;44;915;0;154877;0;0;294078.284;176266.378;103105.194;120;0;0;0;0;0
BU04170320;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;1735.95385;995;740.953846;60;0;0;0;3;28;60;1431;0;3523399;0;0;2893208;1366904.62;2646061.07;1369;0;0;0;0;0
BU04170321;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;174.6;5;169.6;106;0;0;0;1;58;106;31;0;570357;0;0;16962.7529;6875.56889;471878.022;11;0;0;0;0;0
BU04170322;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;683.8;569;114.8;46;0;0;0;2;18;46;634;0;1042503;0;0;1475155.85;778884.1;719524.668;621;0;0;0;0;0
BU04170323;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;545.192308;512;33.1923077;62;0;0;0;2;14;62;342;0;989099;0;0;1756591.86;737630.819;758114.568;553;0;0;0;0;0
BU04170324;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;183.223077;164;19.2230769;36;0;0;0;2;13;36;759;0;212577;0;0;322820.031;220786.997;132058.45;169;0;0;0;0;0
BU04170325;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;161.346154;154;7.34615385;73;0;0;0;3;12;73;147;0;403483;0;0;635070.589;228938.782;349331.521;157;0;0;0;0;0
BU04170326;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;164.961538;109;55.9615385;68;0;0;0;2;15;68;227;0;388299;0;0;442186.984;160790.523;341158.617;116;0;0;0;0;0
BU04170327;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;371.030769;246;125.030769;61;0;0;0;2;19;61;269;0;754662;0;0;821164.985;347160.496;618595.304;256;0;0;0;0;0
BU04170328;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;2375.52308;2199;176.523077;50;0;0;0;2;14;50;1238;0;3428671;0;0;5981460.87;3047479.99;2333395.19;2402;0;0;0;0;0
