BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;Util_A30_Aansl_LabelA;Util_A31_Aansl_LabelB;Util_A32_Aansl_LabelC;Util_A33_Aansl_LabelD;Util_A34_Aansl_LabelE;Util_A35_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;nr_OrgEntity
BU01640800;BU01640800;Roershoek;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;995;25;1094;138479;12860;False;45893;27688;8328;310;0;9568;430;45893;38189;0;10368;0;0;-2663;0;1493;0;0;995;0;0;0;0;0;0;0;0;0;0;0;0;0;995;0;0;0;37;906;0;0;0;0;7493;2719;134;0;1061;3579;34;7493;2800;0;3932;0;0;761;0;367;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;25;0;0;0;0;2320;515635;1581;515635;268
BU01640801;BU01640801;Vossenbelt-Zuid;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;934;17;980;124143;5901;False;38500;22184;7319;5;0;8993;861;38500;31495;0;9443;0;0;-2438;0;1401;0;0;934;0;0;0;0;0;0;0;0;0;0;0;0;0;934;0;0;0;78;734;0;0;0;0;3457;1514;90;0;429;1423;47;3457;1581;0;1572;0;0;304;0;168;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;17;0;0;0;0;1864;233748;1568;233748;269
BU01640802;BU01640802;Vossenbelt-Noord;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;845;29;931;123421;11094;False;36685;21789;6896;2;0;7999;549;36685;28408;0;8865;3450;0;-4037;0;1268;0;0;845;0;0;0;0;0;0;0;0;0;0;0;0;85;761;0;0;0;39;624;0;0;0;0;7802;2651;163;0;1225;3762;54;7802;3430;0;5031;3450;0;-4109;0;316;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;3;26;0;0;0;0;29;0;0;0;0;1882;180650;1067;180650;270
BU01640803;BU01640803;Het Broek;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;942;5;984;148465;5416;False;40648;23896;7790;25;0;8937;347;40648;33797;0;9455;0;0;-2603;0;1413;0;0;942;0;0;0;0;0;0;0;0;0;0;0;0;0;942;0;0;0;210;630;0;0;0;0;2985;1225;85;0;611;1064;14;2985;1296;0;1261;0;0;427;0;154;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;5;0;0;0;0;1979;-33270;-162;-33270;271
BU01640804;BU01640804;Kristenbos;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;6;3;7;1073;32;False;368;245;57;7;0;58;6;368;315;0;69;0;0;-16;0;9;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;6;0;0;0;0;20;2;0;0;4;15;0;20;2;0;16;0;0;3;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;18;6575;1502;6575;272
BU01640805;BU01640805;Dalmeden;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;231;1;232;42385;4;False;11449;6990;2266;17;0;2175;80;11449;9869;0;2328;0;0;-748;0;347;0;0;231;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;60;79;0;0;0;0;3;0;0;0;0;2;0;3;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;555;6823;203;6823;273
BU01640900;BU01640900;Beckum kern;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;210;15;306;31739;12432;False;10556;6548;1862;144;0;2002;272;10556;8882;0;2254;0;0;-580;0;315;0;0;210;0;0;0;0;0;0;0;0;0;0;0;0;0;210;0;0;0;30;177;0;0;0;0;7948;2417;266;0;2283;2982;87;7948;2694;0;3701;0;0;1554;0;354;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;15;0;0;0;0;671;172144;540;172144;274
BU01640901;BU01640901;Verspreide huizen Slangenbeek;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;17;2;18;3058;16;False;1019;676;163;19;0;161;7;1019;876;0;191;0;0;-47;0;26;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;16;0;0;0;0;10;1;0;0;2;7;0;10;1;0;8;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;50;14524;1127;14524;275
BU01640902;BU01640902;Stadspark Weusthag-Noord;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;14;8;35;2651;2726;False;830;553;132;13;0;133;8;830;714;0;154;0;0;-38;0;21;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;13;0;0;0;0;2276;863;38;0;440;935;11;2276;882;0;1075;0;0;318;0;78;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;8;0;0;0;0;93;3513;404;3513;276
BU01640903;BU01640903;Stadspark Weusthag-Zuid;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;43;15;216;7239;22368;False;2528;1670;388;55;0;415;21;2528;2145;0;494;0;0;-111;0;65;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;43;0;0;0;0;11229;3989;213;0;1799;5228;42;11229;4132;0;5830;0;0;1268;0;637;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;15;0;0;0;0;368;50849;267;50849;277
