BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nrAansl_gas;nrAansl_mWKK;nrAansl_eWP;nrAansl_HWP;nrAansl_EWV;nrAansl_RestWarmte;nrAansl_GeoThermie;nrAansl_WijkWKK;nrAansl_BioWKK;nrAansl_WKO;nrAansl_Lt15_30;nrAansl_Lt15_50;nrAansl_Lt15_70;nrAansl_Lt30_30;nrAansl_Lt30_50;nrAansl_Lt30_70;nrAansl_TEO;nr_OrgEntity
BU01640601;BU01640601;Tuindorp t Lansink;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;955;157;2288;False;7;0;0;7;0;0;267;1;29;6294;6030903;2817467;448;1232;0;0;1112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1101
BU01640602;BU01640602;Tuindorp-Zuid;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;1499;209;1701;False;8;0;0;8;0;0;243;2;24;4900;4004060;1724957;352;1014;0;0;1708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1102
BU01640603;BU01640603;Bedrijventerrein Twentekanaal-Noord I;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;11;46;151;False;4;0;0;4;0;0;16;3;39;390;545101;143677;368;952;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1103
BU01640604;BU01640604;Nijverheid;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;2265;253;2420;False;9;0;0;9;0;0;171;2;22;6523;5438312;2402327;368;993;0;0;2518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1104
BU01640605;BU01640605;Vikkerhoek;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;338;68;372;False;10;0;0;10;0;0;71;3;25;1130;975209;395776;350;1065;0;0;406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1105
BU01640606;BU01640606;Bedrijventerrein Zeggershoek;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;3;16;61;False;5;0;0;5;0;0;4;3;61;102;263304;44597;437;738;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1106
BU01640700;BU01640700;Bedrijventerrein Westermaat-Zuidwest;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;53;180;1241;False;4;0;0;4;0;0;40;1;55;2086;3752101;978845;469;789;0;0;233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1107
BU01640701;BU01640701;Woolde;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;756;150;1426;False;8;0;0;8;0;0;106;2;29;4390;3546653;1327624;302;931;0;0;906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1108
BU01640702;BU01640702;Woolder Es;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;1233;177;1394;False;9;0;0;9;0;0;173;2;22;3651;3149660;1399287;383;1004;0;0;1410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1109
BU01640703;BU01640703;Weidedorp;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;1595;228;1841;False;9;0;0;7;2;0;359;2;21;4334;3601451;1594642;368;866;0;0;1823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1110
BU01640704;BU01640704;Bedrijvenpark Westermaat-Zuidoost;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;0;150;818;False;6;0;0;6;0;0;119;3;62;1678;2367781;489706;292;599;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1111
BU01640705;BU01640705;Bedrijventerrein Westermaat-Noordoost;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;0;172;352;False;5;0;0;5;0;0;20;4;60;635;1089189;257332;405;732;0;0;172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1112
BU01640706;BU01640706;Bedrijventerrein Westermaat-Noordwest;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;2;17;599;False;3;0;0;3;0;0;37;0;76;708;2066968;478168;676;798;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1113
BU01640800;BU01640800;Roershoek;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;995;25;1094;False;9;0;0;9;0;0;118;2;23;2797;2133202;750531;268;686;0;0;1020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1114
BU01640801;BU01640801;Vossenbelt-Zuid;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;932;17;978;False;8;0;0;8;0;0;228;2;20;2139;1576992;565315;264;578;0;0;949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1115
BU01640802;BU01640802;Vossenbelt-Noord;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;845;29;931;False;13;0;1;8;4;0;232;2;22;2266;1630942;491734;217;529;0;0;874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1116
BU01640803;BU01640803;Het Broek;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;923;5;974;False;9;0;0;9;0;0;96;2;21;2304;1672987;529431;230;544;0;0;928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1117
BU01640804;BU01640804;Kristenbos;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;6;3;7;False;13;0;0;13;0;0;2;4;28;24;60872;17459;715;2795;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1118
BU01640805;BU01640805;Dalmeden;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;208;1;209;False;11;0;0;11;0;0;20;2;22;610;325765;86214;141;414;0;0;209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1119
BU01640900;BU01640900;Beckum kern;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;210;15;306;False;10;0;0;10;0;0;99;2;28;1148;810499;264466;230;865;0;0;225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1120
BU01640901;BU01640901;Verspreide huizen Slangenbeek;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;18;2;19;False;15;0;0;15;0;0;2;3;27;73;80206;23897;329;1319;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1121
BU01640902;BU01640902;Stadspark Weusthag-Noord;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;14;8;35;False;10;0;0;10;0;0;4;5;44;111;139076;25413;229;727;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1122
BU01640903;BU01640903;Stadspark Weusthag-Zuid;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;43;15;216;False;7;0;0;7;0;0;15;2;34;663;682650;268014;404;1246;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1123
BU01640904;BU01640904;Verspreide huizen Driene;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;99;7;105;False;14;0;0;14;0;0;6;3;26;441;568546;180213;409;1719;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1124
BU01640905;BU01640905;Verspreide huizen Twekkelo;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;36;61;118;False;9;0;0;9;0;0;6;6;26;542;420478;133036;246;1127;0;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1125
BU01640906;BU01640906;Verspreide huizen Oele;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;94;15;100;False;14;0;0;14;0;0;2;3;28;413;700574;187600;454;1894;0;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1126
BU01640907;BU01640907;Verspreide huizen Woolde;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;23;2;24;False;14;0;0;14;0;0;1;3;26;92;198408;52637;570;2284;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1127
BU01640909;BU01640909;Verspreide huizen Beckum;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;152;20;163;False;13;0;0;13;0;0;2;3;27;621;928648;252753;407;1557;0;0;172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1128
