BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04020506;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2.78461538;0;2.78461538;0;0;0;2;8;67;2;1;2;32390;-14862;-7481;0;0;35757.7202;0;2;0;0;0;0;5253
BU04020601;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1559.46923;1200;359.469231;0;0;0;7;1;24;7;395;3938;3229316;1103408;280;0;0;2804178.49;0;1311;0;0;0;0;5254
BU04020602;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1288.54615;1066;222.546154;0;0;0;7;1;23;7;389;3092;2605812;934071;302;0;0;2252841.99;0;1113;0;0;0;0;5255
BU04020603;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2268.59231;1916;352.592308;0;0;0;7;1;23;7;341;4989;4372430;1538353;308;0;0;3756743.48;0;2058;0;0;0;0;5256
BU04020604;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2463.03846;2251;212.038462;0;0;0;7;1;21;7;350;5379;4638173;1796852;334;0;0;4013704.15;0;2335;0;0;0;0;5257
BU04020605;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2858.4;2403;455.4;0;3;0;7;2;25;11;413;7686;6369473;2236574;291;0;0;5643229.01;0;2366.1;262.9;0;0;0;5258
BU04020606;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;216.623077;204;12.6230769;0;0;0;8;2;20;8;96;415;414766;96068;231;0;0;376422.499;0;208;0;0;0;0;5259
BU04020701;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;1031.49231;890;141.492308;0;0;0;9;2;24;9;281;2931;2498513;950308;324;0;0;2245883.68;0;928;0;0;0;0;5260
BU04020702;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;811.992308;767;44.9923077;0;0;0;8;2;22;8;284;2160;1961901;896348;415;0;0;1756784.42;0;849;0;0;0;0;5261
BU04020703;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;3926.90769;3684;242.907692;0;0;0;7;1;19;7;295;7633;7097179;2977561;390;0;0;6083461.08;0;3960;0;0;0;0;5262
BU04020704;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;20.1307692;9;11.1307692;0;0;0;10;2;49;10;8;64;78857;17564;273;0;0;73345.0555;0;11;0;0;0;0;5263
BU04020801;WK040208;Hilversum;Noord-Holland Zuid;Noord-Holland;;1889.7;1827;62.7;0;0;0;8;2;20;8;147;4395;3947033;1523019;347;0;0;3503400.32;0;1913;0;0;0;0;5264
BU04020901;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;93.4538462;12;81.4538462;0;0;0;6;4;42;6;1;238;306700;-108461;-455;0;0;297585.765;0;34;0;0;0;0;5265
BU04020902;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;15.5769231;0;15.5769231;0;0;0;5;5;47;5;1;26;45527;-17492;-674;0;0;42596.1052;0;5;0;0;0;0;5266
BU04020903;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;488.438462;19;469.438462;0;0;0;11;1;43;11;9;3207;1067738;-258327;-81;0;0;898293.878;0;54;0;0;0;0;5267
