BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04060716;WK040607;Huizen;Noord-Holland Zuid;Noord-Holland;;1821.89231;1599;222.892308;0;0;0;2;2;18;21;484;4304;3648159;1138178;264;0;0;2734512.09;0;0;0;0;1888;0;5365
BU04060817;WK040608;Huizen;Noord-Holland Zuid;Noord-Holland;;1581.76154;1453;128.761538;0;0;0;2;2;16;21;531;3446;3091685;1084854;315;0;0;2336970.96;0;0;0;0;1621;0;5366
BU04060818;WK040608;Huizen;Noord-Holland Zuid;Noord-Holland;;1582.82308;1366;216.823077;0;0;0;2;1;17;19;733;3037;2754224;884611;291;0;0;2017140.4;0;0;0;0;1446;0;5367
BU04060919;WK040609;Huizen;Noord-Holland Zuid;Noord-Holland;;1437.36923;1409;28.3692308;0;0;0;2;2;13;21;714;2943;2568477;1001310;340;0;0;1914328.4;0;0;0;0;1469;0;5368
BU04061020;WK040610;Huizen;Noord-Holland Zuid;Noord-Holland;;778.253846;750;28.2538462;0;0;0;2;1;13;20;579;1601;1381552;532921;333;0;0;1033449.52;0;0;0;0;778;0;5369
BU04061021;WK040610;Huizen;Noord-Holland Zuid;Noord-Holland;;222.569231;221;1.56923077;0;0;0;3;2;14;23;515;518;446488;169771;328;0;0;343303.938;0;0;0;0;233;0;5370
BU04061123;WK040611;Huizen;Noord-Holland Zuid;Noord-Holland;;1492.73077;1478;14.7307692;0;0;0;2;1;13;22;616;3211;2757683;1073136;334;0;0;2089275.94;0;0;0;0;1513;0;5371
BU04061124;WK040611;Huizen;Noord-Holland Zuid;Noord-Holland;;911.446154;821;90.4461538;0;0;0;2;1;15;19;1119;1687;1483822;563492;334;0;0;1049586.68;0;0;0;0;879;0;5372
BU04061125;WK040611;Huizen;Noord-Holland Zuid;Noord-Holland;;622.346154;593;29.3461538;0;0;0;2;1;12;20;424;1201;1081176;411761;343;0;0;809107.077;0;0;0;0;601;0;5373
BU04061226;WK040612;Huizen;Noord-Holland Zuid;Noord-Holland;;822.530769;801;21.5307692;0;0;0;3;2;13;24;531;1734;1372804;376938;217;0;0;1019359.22;0;0;0;0;811;0;5374
