bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
Hoogvliet BV;1280;4.76466;52.2533;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.10023242;LT
Hoogvliet BV;1281;4.78773;52.2783;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.549939785;LT
Zaal Supermarkten BV;1282;4.76243;52.2644;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.01466574;LT
Albert Heijn BV;1388;4.86013;52.3033;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.19130052;LT
Albert Heijn BV;1389;4.8395;52.2889;1999;1999;0.485872099;0.7;0.3;30;50;250;0;2.2716763;LT
Albert Heijn BV;1390;4.86997;52.2888;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.05474736;LT
Albert Heijn BV;1391;4.82651;52.2819;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.04833177;LT
Albert Heijn BV;1392;4.86604;52.318;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.11313162;LT
Albert Heijn BV;1393;4.87535;52.312;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00346031;LT
Albert Heijn BV;1394;4.85149;52.2813;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00348259;LT
Coop Supermarkten BV;1395;4.86227;52.2796;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00348259;LT
Deen Winkels BV;1396;4.87486;52.3021;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.19130052;LT
Jumbo Supermarkten BV;1397;4.86924;52.289;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.05474736;LT
LIDL Nederland GmbH;1398;4.84756;52.3116;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Van der Linden Supermarkt BV;1399;4.84634;52.3071;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1400;4.85529;52.3641;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00825267;LT
Albert Heijn BV;1401;4.9397;52.3974;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00024464;LT
Albert Heijn BV;1402;4.89614;52.4225;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00153095;LT
Albert Heijn BV;1403;4.93991;52.3502;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00548797;LT
Albert Heijn BV;1404;4.82669;52.355;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.66925844;LT
Albert Heijn BV;1405;4.83755;52.3638;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00076792;LT
Albert Heijn BV;1406;4.93978;52.3623;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00282513;LT
Albert Heijn BV;1407;4.85602;52.3817;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.02394354;LT
Albert Heijn BV;1408;4.80157;52.3777;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1409;4.91238;52.3623;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00192092;LT
Albert Heijn BV;1410;4.92436;52.3664;1999;1999;0.485872099;0.7;0.3;30;50;250;0;2.12289478;LT
Albert Heijn BV;1411;4.89396;52.3748;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.04613134;LT
Albert Heijn BV;1412;4.8704;52.3666;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.003071;LT
Albert Heijn BV;1413;4.88441;52.3784;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1414;4.85583;52.3524;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1415;4.89653;52.3576;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1416;4.92816;52.3571;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1417;4.86964;52.3537;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.0077582;LT
Albert Heijn BV;1418;4.97208;52.3229;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1419;4.86411;52.3622;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00632185;LT
Albert Heijn BV;1420;4.87963;52.3572;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.294589;LT
Albert Heijn BV;1421;4.87852;52.3311;1999;1999;1.13370154;0.7;0.3;30;50;250;0;1.00039975;LT
Albert Heijn BV;1422;4.95513;52.3156;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00115919;LT
Albert Heijn BV;1423;4.9036;52.3688;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1424;4.9906;52.358;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1425;4.87767;52.3488;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.01521747;LT
Albert Heijn BV;1426;4.8919;52.351;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00701827;LT
Albert Heijn BV;1427;4.89389;52.3739;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.04613134;LT
Albert Heijn BV;1428;4.93171;52.363;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.005479;LT
Albert Heijn BV;1429;4.92008;52.3548;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.0023603;LT
Albert Heijn BV;1430;4.88394;52.3739;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.1865473;LT
Albert Heijn BV;1431;4.86389;52.3458;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00617465;LT
