BU_CODE;WK_CODE;Gemeente;RES;Provincie;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;nr_OrgEntity
'BU04170321';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';5;6;224.842473;0;0;0;0;56.4970997;224.842473;0;0;556979.524;5391
'BU04170322';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';569;52;3472.28158;0;14804.5437;0;0;5944.67028;18276.8253;0;0;1062816.65;5392
'BU04170323';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';512;41;14013.2233;0;7665.05908;0;0;6068.308;21678.2824;0;0;1468481.16;5393
'BU04170324';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';164;5;3832.03794;0;1195.07169;0;0;1670.09707;5027.10963;0;0;214535.996;5394
'BU04170325';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';154;3;8388.85339;0;0;0;0;1981.54738;8388.85339;0;0;648696.468;5395
'BU04170326';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';109;7;6015.00664;0;0;0;0;1376.23132;6015.00664;0;0;571677.244;5396
'BU04170327';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';246;10;10895.5702;0;226.168935;0;0;2947.18095;11121.7391;0;0;1062668.26;5397
'BU04170328';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';2199;203;10571.6486;0;60696.4515;0;0;23288.6897;71268.1001;0;0;3982276.44;5398
'BU04170329';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';296;19;2253.60071;0;11625.3925;0;0;3270.61991;13878.9932;0;0;1104132.48;5399
'BU04570001';'WK045700';'Weesp';'Noord-Holland Zuid';'Noord-Holland';1194;179;23123.1014;0;13098.5608;0;0;12660.4171;36221.6622;0;0;2671437.26;5610
'BU04570002';'WK045700';'Weesp';'Noord-Holland Zuid';'Noord-Holland';513;47;3111.19779;0;11018.9704;0;0;5033.26748;14130.1682;0;0;775189.983;5611
'BU04570101';'WK045701';'Weesp';'Noord-Holland Zuid';'Noord-Holland';118;51;4310.29948;0;0;0;0;1432.16302;4310.29948;0;0;1499505.26;5612
'BU04570102';'WK045701';'Weesp';'Noord-Holland Zuid';'Noord-Holland';368;22;10233.3511;0;0;0;0;3755.0711;10233.3511;0;0;629484.318;5613
'BU04570103';'WK045701';'Weesp';'Noord-Holland Zuid';'Noord-Holland';314;17;10004.0661;0;0;0;0;3544.94118;10004.0661;0;0;626966.863;5614
'BU04570104';'WK045701';'Weesp';'Noord-Holland Zuid';'Noord-Holland';254;41;8097.45162;0;0;0;0;3014.24023;8097.45162;0;0;471195.636;5615
'BU04570201';'WK045702';'Weesp';'Noord-Holland Zuid';'Noord-Holland';1106;26;12340.7201;0;15049.8628;0;0;10116.2176;27390.5829;0;0;1230666.03;5616
'BU04570202';'WK045702';'Weesp';'Noord-Holland Zuid';'Noord-Holland';500;51;6650.93004;0;5289.34006;0;0;4975.69823;11940.2701;0;0;690659.199;5617
'BU04570301';'WK045703';'Weesp';'Noord-Holland Zuid';'Noord-Holland';424;34;10351.8372;0;0;0;0;4260.70938;10351.8372;0;0;511580.893;5618
'BU04570302';'WK045703';'Weesp';'Noord-Holland Zuid';'Noord-Holland';930;155;24012.7673;0;0;0;0;9715.22744;24012.7673;0;0;1400967.18;5619
'BU04570303';'WK045703';'Weesp';'Noord-Holland Zuid';'Noord-Holland';904;100;22467.1067;0;0;0;0;8957.26562;22467.1067;0;0;1162157.83;5620
'BU04570304';'WK045703';'Weesp';'Noord-Holland Zuid';'Noord-Holland';75;333;2102.95654;0;0;0;0;728.454984;2102.95654;0;0;4475343.26;5621
'BU04570401';'WK045704';'Weesp';'Noord-Holland Zuid';'Noord-Holland';702;26;21010.5754;0;0;0;0;7809.4368;21010.5754;0;0;1217216.29;5622
'BU04570402';'WK045704';'Weesp';'Noord-Holland Zuid';'Noord-Holland';797;4;23041.7366;0;0;0;0;8530.58387;23041.7366;0;0;1115478.92;5623
'BU04570701';'WK045707';'Weesp';'Noord-Holland Zuid';'Noord-Holland';115;29;5021.43139;0;0;0;0;1376.34302;5021.43139;0;0;586016.143;5624
'BU04570801';'WK045708';'Weesp';'Noord-Holland Zuid';'Noord-Holland';136;109;6253.29417;0;272.71435;0;0;1659.34785;6526.00852;0;0;894303.293;5625
'BU04570901';'WK045709';'Weesp';'Noord-Holland Zuid';'Noord-Holland';510;40;2687.9899;0;11763.626;0;0;5049.82118;14451.6159;0;0;693478.811;5626
'BU04570902';'WK045709';'Weesp';'Noord-Holland Zuid';'Noord-Holland';12;31;0;0;460.510823;0;0;123.769883;460.510823;0;0;392885.076;5627
'BU04570903';'WK045709';'Weesp';'Noord-Holland Zuid';'Noord-Holland';33;5;1000.36409;0;211.307719;0;0;374.149568;1211.67181;0;0;271818.722;5628
