bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
Albert Heijn BV;1435;4.88884;52.3816;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1436;4.84029;52.349;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.37029647;LT
Albert Heijn BV;1437;4.89973;52.3727;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1438;4.97875;52.3163;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1439;4.89217;52.3628;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1440;4.88916;52.3672;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00372094;LT
Albert Heijn BV;1441;4.86219;52.3597;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00114197;LT
Albert Heijn BV;1442;4.89617;52.3785;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1443;4.82369;52.3799;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1444;4.87781;52.3917;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00320151;LT
Albert Heijn BV;1445;4.91064;52.3559;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1446;4.8613;52.3748;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00171157;LT
Albert Heijn BV;1447;4.81091;52.3458;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.03190055;LT
Albert Heijn BV;1448;4.89975;52.3612;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.07045553;LT
Albert Heijn BV;1449;4.87605;52.3836;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00082395;LT
Albert Heijn BV;1450;4.87069;52.3708;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1451;4.8914;52.3442;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00239153;LT
Albert Heijn BV;1452;4.87473;52.3628;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.08144224;LT
Albert Heijn BV;1453;4.9066;52.3434;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00032684;LT
Albert Heijn BV;1454;4.84682;52.3786;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00130461;LT
Albert Heijn BV;1455;4.89304;52.417;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00122185;LT
Albert Heijn BV;1456;4.89149;52.3597;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1457;4.89942;52.3794;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1458;4.89518;52.346;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0016395;LT
Albert Heijn BV;1459;4.89021;52.3546;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.01152835;LT
Aldi;1460;4.97708;52.316;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Aldi;1461;4.85996;52.3257;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.38980259;LT
Biotoop van Swindenstraat BV;1462;4.92589;52.3622;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00439251;LT
Brasserie Van Dam BV;1464;4.87073;52.3557;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00335854;LT
Coop Supermarkten BV;1465;4.78542;52.3554;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00229206;LT
Coop Supermarkten BV;1466;4.88969;52.354;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.01152835;LT
De Avondmarkt;1467;4.87645;52.3831;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00082395;LT
Deen Winkels BV;1468;4.84984;52.3493;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Deen Winkels BV;1469;4.89505;52.3435;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00239153;LT
Deka Supermarkten BV;1470;4.95193;52.3968;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00057076;LT
