bron_naam;Label;x_coord;y_coord;ingebruik;uitgebruik;Categorie_rel;MWth_max;bron_vol;bron_cap;T_bron;P_ow_max;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor
Albert Heijn BV;1424;4.9906;52.358;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;0
Albert Heijn BV;1425;4.87767;52.3488;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00796507
Albert Heijn BV;1426;4.8919;52.351;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;1.00163576
Albert Heijn BV;1427;4.89389;52.3739;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.01601531
Albert Heijn BV;1428;4.93171;52.363;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00282912
Albert Heijn BV;1429;4.92008;52.3548;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00504062
Albert Heijn BV;1430;4.88394;52.3739;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00008352
Albert Heijn BV;1431;4.86389;52.3458;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00259649
Albert Heijn BV;1432;4.90259;52.3528;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Albert Heijn BV;1433;4.8029;52.3595;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;1.00005318
Albert Heijn BV;1434;4.91555;52.3905;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0
Albert Heijn BV;1435;4.88884;52.3816;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Albert Heijn BV;1436;4.84029;52.349;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.0001961
Albert Heijn BV;1437;4.89973;52.3727;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Albert Heijn BV;1438;4.97875;52.3163;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Albert Heijn BV;1439;4.89217;52.3628;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Albert Heijn BV;1440;4.88916;52.3672;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00348176
Albert Heijn BV;1441;4.86219;52.3597;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00039063
Albert Heijn BV;1442;4.89617;52.3785;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Albert Heijn BV;1443;4.82369;52.3799;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Albert Heijn BV;1444;4.87781;52.3917;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.01356417
Albert Heijn BV;1445;4.91064;52.3559;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;0
Albert Heijn BV;1446;4.8613;52.3748;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;1.00283325
Albert Heijn BV;1447;4.81091;52.3458;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.0076154
Albert Heijn BV;1448;4.89975;52.3612;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.06337797
Albert Heijn BV;1449;4.87605;52.3836;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00463587
Albert Heijn BV;1450;4.87069;52.3708;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Albert Heijn BV;1451;4.8914;52.3442;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.0054038
Albert Heijn BV;1452;4.87473;52.3628;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00232135
Albert Heijn BV;1453;4.9066;52.3434;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;1.00256535
Albert Heijn BV;1454;4.84682;52.3786;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00844814
Albert Heijn BV;1455;4.89304;52.417;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00105435
Albert Heijn BV;1456;4.89149;52.3597;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Albert Heijn BV;1457;4.89942;52.3794;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0
Albert Heijn BV;1458;4.89518;52.346;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.01323937
Albert Heijn BV;1459;4.89021;52.3546;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.01029698
Aldi;1460;4.97708;52.316;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;0
Aldi;1461;4.85996;52.3257;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;1.00050223
Biotoop van Swindenstraat BV;1462;4.92589;52.3622;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;1.00282912
Brasserie Van Dam BV;1464;4.87073;52.3557;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00221685
Coop Supermarkten BV;1465;4.78542;52.3554;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00728641
Coop Supermarkten BV;1466;4.88969;52.354;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;1.01029698
De Avondmarkt;1467;4.87645;52.3831;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;1.00463587
Deen Winkels BV;1468;4.84984;52.3493;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Deen Winkels BV;1469;4.89505;52.3435;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.0054038
Deka Supermarkten BV;1470;4.95193;52.3968;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;1.00466511
Deka Supermarkten BV;1471;4.81893;52.3764;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.0013558
