BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nrAansl_gas;nrAansl_mWKK;nrAansl_eWP;nrAansl_HWP;nrAansl_EWV;nrAansl_RestWarmte;nrAansl_GeoThermie;nrAansl_WijkWKK;nrAansl_BioWKK;nrAansl_WKO;nrAansl_Lt15_30;nrAansl_Lt15_50;nrAansl_Lt15_70;nrAansl_Lt30_30;nrAansl_Lt30_50;nrAansl_Lt30_70;nrAansl_TEO;nr_OrgEntity
BU04020601;BU04020601;Geuzenbuurt;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1200;111;1560;False;27;0;27;0;0;0;1522;1;17;3938;3173566;1384856;352;888;1311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5254
BU04020602;BU04020602;Electrobuurt;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1066;47;1289;False;27;0;27;0;0;0;1501;1;16;3092;2526652;1118998;362;868;1113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5255
BU04020603;BU04020603;Kleine Driftbuurt;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1916;142;2269;False;27;0;27;0;0;0;1315;1;16;4989;4090172;1723030;345;760;2058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5256
BU04020604;BU04020604;Liebergen;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;2251;84;2464;False;27;0;27;0;0;0;1350;1;13;5379;4189393;1829111;340;743;2335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5257
BU04020605;BU04020605;Astronomische Buurt;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;2403;226;2859;False;31;0;28;0;3;0;1165;2;18;7686;6082549;2688178;350;940;2629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5258
BU04020606;BU04020606;Annas Hoeve;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;204;4;217;False;30;0;30;0;0;0;358;2;12;415;337417;124598;300;575;208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5259
BU04020701;BU04020701;Johannes Geradtswegbuurt;WK040207;Noordoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;890;38;1032;False;32;0;32;0;0;0;999;2;15;2931;2453801;1216839;415;1180;928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5260
BU04020702;BU04020702;Erfgooiersbuurt;WK040207;Noordoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;767;82;812;False;31;0;31;0;0;0;1100;2;14;2160;1766933;888304;411;1094;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5261
BU04020703;BU04020703;Noord;WK040207;Noordoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;3684;276;3927;False;25;0;25;0;0;0;1053;1;12;7633;6275036;2861438;375;729;3960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5262
BU04020704;BU04020704;AZC Crailo;WK040207;Noordoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;9;2;21;False;37;0;37;0;0;0;30;2;38;64;77555;31737;493;1577;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5263
BU04020801;BU04020801;Hilversumse Meent;WK040208;Hilversumse Meent;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1827;86;1890;False;31;0;31;0;0;0;568;2;12;4395;3509274;1617779;368;856;1913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5264
BU04020901;BU04020901;Landelijk Gebied 91;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;12;22;94;False;29;0;29;0;0;0;4;4;36;238;281514;54334;228;581;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5265
BU04020902;BU04020902;Landelijk Gebied 92;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;0;5;16;False;26;0;26;0;0;0;6;5;43;26;43625;7033;271;452;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5266
BU04020903;BU04020903;Landelijk Gebied 93;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;19;35;489;False;37;0;37;0;0;0;29;1;33;3207;1527173;443376;138;908;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5267
BU04020904;BU04020904;Landelijk Gebied 94;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;37;13;86;False;33;0;33;0;0;0;20;2;38;352;303912;84765;241;989;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5268
BU04020905;BU04020905;Landelijk Gebied 95;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;134;87;568;False;28;0;28;0;0;0;20;2;23;1959;1322811;436149;223;768;221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5269
BU04020906;BU04020906;Landelijk Gebied 96;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;6;2;10;False;52;0;52;0;0;0;5;9;19;40;43408;15352;388;1620;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5270
BU04020907;BU04020907;Landelijk Gebied 97;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;4;7;24;False;29;0;29;0;0;0;2;7;44;61;70209;17809;292;746;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5271
BU04060001;BU04060001;De Noord;WK040600;Wijk 00 Oude Dorp;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1673;229;2156;False;30;0;30;0;0;0;1096;2;22;6000;5028440;2054318;342;953;1902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5346
BU04060002;BU04060002;De Zuid;WK040600;Wijk 00 Oude Dorp;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1250;66;1328;False;33;0;33;0;0;0;935;2;14;3667;2931653;1409260;384;1062;1316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5347
BU04060103;BU04060103;Westereng;WK040601;Wijk 01 Westereng;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1008;34;1109;False;36;0;36;0;0;0;597;2;13;3222;2591389;1259284;391;1136;1042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5348
BU04060204;BU04060204;Flevo;WK040602;Wijk 02 Buitenwijken;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;94;2;95;False;55;0;55;0;0;0;60;3;12;388;363428;181847;469;1933;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5349
BU04060205;BU04060205;Bikbergen;WK040602;Wijk 02 Buitenwijken;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;109;4;145;False;43;0;43;0;0;0;55;2;23;630;489430;198048;314;1367;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5350
BU04060206;BU04060206;Crailo;WK040602;Wijk 02 Buitenwijken;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;149;16;361;False;40;0;40;0;0;0;97;2;25;1779;1124348;392857;221;1089;165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5351
BU04060307;BU04060307;Thames;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;32;3;35;False;50;0;50;0;0;0;26;3;13;139;131928;66471;479;1905;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5352
BU04060308;BU04060308;IJzeren veld;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;63;6;67;False;52;0;52;0;0;0;48;3;13;275;236556;116899;425;1749;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5353
BU04060327;BU04060327;Parrewijn;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;7;2;9;False;48;0;48;0;0;0;5;5;20;29;36155;12896;440;1542;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5354
BU04060328;BU04060328;Tafelberger Heide;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1;1;2;False;47;0;47;0;0;0;1;5;25;4;5327;2270;527;1778;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5355
BU04060329;BU04060329;Rijsbergen;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;4;3;36;False;14;0;14;0;0;0;15;1;24;78;64134;14628;186;413;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5356
BU04060330;BU04060330;Huizerhoogt;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;42;2;43;False;46;0;46;0;0;0;230;3;12;154;131987;64547;418;1504;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5357
BU04060409;BU04060409;Sijsjesberg;WK040604;Wijk 04 Staatslieden en Componistenbuurt;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;244;3;247;False;46;0;46;0;0;0;606;2;12;913;726694;388401;425;1576;247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5358
BU04060410;BU04060410;Zuidereng;WK040604;Wijk 04 Staatslieden en Componistenbuurt;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;980;50;1091;False;37;0;37;0;0;0;471;2;13;3155;2454291;1167127;370;1070;1030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5359
BU04060511;BU04060511;Gooierhoofd;WK040605;Wijk 05 Havengebied;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;359;19;467;False;31;0;31;0;0;0;504;2;17;1040;859492;353109;339;757;378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5360
BU04060512;BU04060512;Wolfskamer;WK040605;Wijk 05 Havengebied;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;34;31;210;False;35;0;35;0;0;0;126;3;38;541;518419;143236;265;682;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5361
BU04060513;BU04060513;Industriewijk t Plaveen;WK040605;Wijk 05 Havengebied;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;232;128;1132;False;22;0;22;0;0;0;397;1;41;2391;2836956;747671;313;661;360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5362
BU04060614;BU04060614;Bovenweg;WK040606;Wijk 06 Zenderwijk en Bovenweg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1331;97;1666;False;28;0;28;0;0;0;1131;2;16;3431;2744882;1072904;313;644;1428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5363
BU04060615;BU04060615;Zenderwijk;WK040606;Wijk 06 Zenderwijk en Bovenweg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;559;45;608;False;29;0;29;0;0;0;875;2;14;1521;1152879;504282;332;830;604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5364
BU04060716;BU04060716;Stad en Lande;WK040607;Wijk 07 Stad en Lande;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1599;289;1822;False;30;0;30;0;0;0;692;2;16;4304;3480018;1441464;335;791;1888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5365
BU04060817;BU04060817;Huizermaat West;WK040608;Wijk 08 Huizermaat West en Zuid;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1453;168;1582;False;29;0;29;0;0;0;733;2;14;3446;2874026;1277848;371;808;1621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5366
BU04060818;BU04060818;Huizermaat Zuid;WK040608;Wijk 08 Huizermaat West en Zuid;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1366;80;1583;False;26;0;26;0;0;0;1003;1;16;3037;2630633;1085561;357;686;1446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5367
BU04060919;BU04060919;Huizermaat Noord;WK040609;Wijk 09 Huizermaat Noord;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1409;60;1438;False;28;0;28;0;0;0;951;2;11;2943;2371740;1116142;379;777;1469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5368
BU04061020;BU04061020;Bijvanck Noord;WK040610;Wijk 10 Bijvanck;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;750;28;779;False;28;0;28;0;0;0;810;1;11;1601;1275035;598432;374;769;778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5369
BU04061021;BU04061021;Bijvanck West;WK040610;Wijk 10 Bijvanck;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;221;12;223;False;31;0;31;0;0;0;694;2;12;518;410032;194342;375;873;233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5370
BU04061123;BU04061123;Bovenmaat Noord;WK040611;Wijk 11 Bovenmaten;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1478;35;1493;False;30;0;30;0;0;0;841;1;11;3211;2554827;1212593;378;812;1513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5371
BU04061124;BU04061124;Bovenmaat West;WK040611;Wijk 11 Bovenmaten;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;821;58;912;False;25;0;25;0;0;0;1473;1;14;1687;1431826;641142;380;703;879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5372
BU04061125;BU04061125;Bovenmaat-Oost;WK040611;Wijk 11 Bovenmaten;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;593;8;623;False;27;0;27;0;0;0;572;1;11;1201;985960;459104;382;738;601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5373
BU04061226;BU04061226;Filosofenbuurt;WK040612;Wijk 12 Hogemaat;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;801;10;823;False;33;0;33;0;0;0;730;2;11;1734;1254095;497584;287;605;811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5374
