bron_naam;Label;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
Emt0 Supermarkten BV;2402;6.80151;52.2664;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00135612;LT
Emte Supermarkten BV;2403;6.83897;52.2861;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00053117;LT
Jumbo Klieverik;2404;6.78933;52.2562;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Plus Agathaplein;2405;6.77443;52.2579;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00393867;LT
Supermarkt Leferink BV;2406;6.82743;52.2846;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00053117;LT
Detailconsult Supermarkten BV;2446;6.49424;52.2353;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.346842756;LT
Detailconsult Supermarkten BV;2447;6.71307;52.2619;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00009605;LT
Emt0 Supermarkten BV;2448;6.56997;52.2406;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0.477545481;LT
G  Brandenbarg Supermarkt BV;2449;6.58512;52.2314;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00046797;LT
Spar Hemel VOF;2450;6.63868;52.1993;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00239156;LT
Supermarkt Bekman Delden BV;2451;6.70853;52.2613;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00009605;LT
De Jong Retail t h o d n  Jumbo De Jong;2637;7.00635;52.2612;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00312028;LT
Emt0 Supermarkten BV;2638;7.00841;52.261;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00312028;LT
Plus Bellers BV;2639;7.03671;52.2357;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00719936;LT
Schreur t h o d n  Spar Schreur;2640;6.98733;52.3153;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00543979;LT
Van Marle Retail en Advies BV;2641;6.99666;52.2635;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.0102982;LT
Albert Heijn BV;2863;6.90697;52.3149;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00110275;LT
Albert Heijn BV;2864;6.93574;52.3008;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.59968457;LT
Albert Heijn BV;2865;6.92612;52.3134;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00020063;LT
Aldi;2866;6.93063;52.3159;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00407627;LT
C1000 Filialen BV;2867;6.90697;52.3149;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00110275;LT
Emt0 Supermarkten BV;2868;6.92564;52.3234;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00505455;LT
Hwparticipaties BV;2869;6.90697;52.3149;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00110275;LT
Jumbo Supermarkten BV;2870;6.92699;52.314;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00020063;LT
Kuipers Supermarkten BV;2871;6.92797;52.3168;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00407627;LT
Albert Heijn BV;3003;6.52359;52.3096;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00091557;LT
Aldi;3004;6.52091;52.303;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.01190348;LT
Detailconsult Supermarkten BV;3005;6.5182;52.3065;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00063761;LT
Emt0 Supermarkten BV;3006;6.51971;52.3029;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.01190348;LT
Emt0 Supermarkten BV;3007;6.49644;52.3128;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00093398;LT
Haanstra Supermarkten VOF;3008;6.4208;52.2821;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.0005198;LT
Holten Have BV;3009;6.42242;52.2819;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.0005198;LT
Jumbo Supermarkten BV;3010;6.52096;52.3102;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00091557;LT
Supermarkt Ter Maat BV;3011;6.50957;52.304;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00247799;LT
Supermarkt Levink BV;3263;6.78343;52.4073;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00509115;LT
VOF Munster;3264;6.7615;52.3731;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00509115;LT
Aldi;3265;6.57093;52.46;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00868788;LT
Coop Supermarkten BV;3266;6.57004;52.4607;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00868788;LT
Coop Supermarkten BV;3267;6.4882;52.4632;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00279623;LT
Em T0 Supermarkten BV;3268;6.62691;52.413;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Fikkert Supermarkt BV;3269;6.61971;52.4101;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Rudy Veldkamp Supermarkt BV;3271;6.49456;52.4645;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00279623;LT
Supermarkt Veld Vroomshoop BV;3272;6.56676;52.4564;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.0010365;LT
Albert Heijn Enter;3550;6.57758;52.2925;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00565062;LT
Brunsman Supermarkt Wierden BV;3551;6.59641;52.3612;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Jumbo Supermarkten BV;3552;6.59483;52.3598;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
LIDL Nederland GmbH;3553;6.58657;52.3594;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Onbekend slachthuis 13;3698;6.63828;52.3746;1999;1999;3;0.7;0.3;30;50;250;0;0.564490737;LT
Onbekend slachthuis 14;3699;6.68027;52.3668;1999;1999;3;0.7;0.3;30;50;250;0;0;LT
Onbekend slachthuis 15;3700;6.65113;52.3287;1999;1999;3;0.7;0.3;30;50;250;0;0.0242281974;LT
Onbekend slachthuis 16;3701;6.65113;52.3287;1999;1999;3;0.7;0.3;30;50;250;0;0.0242281974;LT
Onbekend slachthuis 17;3702;6.65113;52.3287;1999;1999;3;0.7;0.3;30;50;250;0;0.0242281974;LT
Onbekend slachthuis 18;3703;6.65113;52.3287;1999;1999;3;0.7;0.3;30;50;250;0;0.0242281974;LT
Onbekend slachthuis 19;3704;6.65113;52.3287;1999;1999;3;0.7;0.3;30;50;250;0;0.0242281974;LT
Onbekend slachthuis 20;3705;6.65113;52.3287;1999;1999;3;0.7;0.3;30;50;250;0;0.0242281974;LT
Onbekend slachthuis 21;3706;6.6353;52.3726;1999;1999;3;0.7;0.3;30;50;250;0;0.564490737;LT
Onbekend slachthuis 22;3707;6.65113;52.3287;1999;1999;3;0.7;0.3;30;50;250;0;0.0242281974;LT
Onbekend slachthuis 23;3708;6.6629;52.3549;1999;1999;3;0.7;0.3;30;50;250;0;1.00035638;LT
Onbekend slachthuis 24;3709;6.65113;52.3287;1999;1999;3;0.7;0.3;30;50;250;0;0.0242281974;LT
Onbekend slachthuis 212;3898;6.83507;52.2214;1999;1999;3;0.7;0.3;30;50;250;0;0.00329510526;LT
Onbekend slachthuis 213;3899;6.90244;52.214;1999;1999;3;0.7;0.3;30;50;250;0;1.00042992;LT
Onbekend slachthuis 214;3900;6.8545;52.1914;1999;1999;3;0.7;0.3;30;50;250;0;0.701417941;LT
Onbekend slachthuis 215;3901;6.892;52.1946;1999;1999;3;0.7;0.3;30;50;250;0;1.00039131;LT
Onbekend slachthuis 216;3902;6.84254;52.2228;1999;1999;3;0.7;0.3;30;50;250;0;0.00477236842;LT
Onbekend slachthuis 217;3903;6.90283;52.228;1999;1999;3;0.7;0.3;30;50;250;0;0.265537263;LT
Onbekend slachthuis 218;3904;6.88117;52.2084;1999;1999;3;0.7;0.3;30;50;250;0;0.831303532;LT
Onbekend slachthuis 219;3905;6.85323;52.2128;1999;1999;3;0.7;0.3;30;50;250;0;0.271914263;LT
Onbekend slachthuis 220;3906;6.94636;52.2245;1999;1999;3;0.7;0.3;30;50;250;0;0.0221634211;LT
Onbekend slachthuis 256;3942;6.73421;52.1598;1999;1999;3;0.7;0.3;30;50;250;0;0.039106886;LT
Onbekend slachthuis 257;3943;6.73143;52.1559;1999;1999;3;0.7;0.3;30;50;250;0;0.166500526;LT
Onbekend slachthuis 280;3966;6.80953;52.2942;1999;1999;3;0.7;0.3;30;50;250;0;0.788327462;LT
Onbekend slachthuis 281;3967;6.79296;52.2592;1999;1999;3;0.7;0.3;30;50;250;0;0;LT
Onbekend slachthuis 288;3974;6.71403;52.2547;1999;1999;3;0.7;0.3;30;50;250;0;0.343896579;LT
Onbekend slachthuis 289;3975;6.57375;52.2446;1999;1999;3;0.7;0.3;30;50;250;0;0.477545481;LT
Onbekend slachthuis 404;4090;6.92025;52.295;1999;1999;3;0.7;0.3;30;50;250;0;0.59968457;LT
Onbekend slachthuis 478;4164;6.3932;52.2758;1999;1999;3;0.7;0.3;30;50;250;0;0.0208025;LT
Onbekend slachthuis 479;4165;6.3932;52.2758;1999;1999;3;0.7;0.3;30;50;250;0;0.0208025;LT
Onbekend slachthuis 480;4166;6.4239;52.284;1999;1999;3;0.7;0.3;30;50;250;0;0.0565942895;LT
Onbekend slachthuis 481;4167;6.4239;52.284;1999;1999;3;0.7;0.3;30;50;250;0;0.0565942895;LT
Onbekend slachthuis 598;4284;6.62323;52.4583;1999;1999;3;0.7;0.3;30;50;250;0;0.204140526;LT
Onbekend slachthuis 599;4285;6.60883;52.4101;1999;1999;3;0.7;0.3;30;50;250;0;0;LT
Atalay Uitbeenbedrijf BV;4442;6.87179;52.2225;1999;1999;3;0.7;0.3;30;50;250;0;0.225406737;LT
Ganeshi Vleesverwerking BV;4443;6.94243;52.2129;1999;1999;3;0.7;0.3;30;50;250;0;0.333194941;LT
Plukon Goor BV;4445;6.58941;52.2453;1999;1999;3;0.7;0.3;30;50;250;0;0.0872029895;LT
RWZI   Almelo Vissedijk;4464;6.65177;52.3656;1999;1999;4.91053241;0.7;0.3;11.1;50;250;0;0;LT
RWZI   Denekamp;4525;7.03268;52.3825;1999;1999;0.970737269;0.7;0.3;11;50;250;0;0;LT
RWZI   Ootmarsum;4526;6.92428;52.4128;1999;1999;0.763188657;0.7;0.3;9.59;50;250;0;0;LT
RWZI   Enschede;4540;6.84433;52.2336;1999;1999;10.2801875;0.7;0.3;11.8;50;250;0;0;LT
RWZI   Glanerbrug;4541;6.97348;52.2186;1999;1999;0.749158565;0.7;0.3;10.9;50;250;0;0;LT
RWZI   Haaksbergen;4556;6.7156;52.1816;1999;1999;2.08685532;0.7;0.3;10.9;50;250;0;0;LT
RWZI   Nijverdal;4575;6.4684;52.3716;1999;1999;2.55226736;0.7;0.3;12.9;50;250;0;0;LT
RWZI   Hengelo;4577;6.77311;52.2799;1999;1999;9.14592708;0.7;0.3;11.5;50;250;0;0;LT
RWZI   Goor;4592;6.57371;52.2475;1999;1999;1.3459213;0.7;0.3;10.8;50;250;0;0;LT
RWZI   Hengevelde;4593;6.64414;52.2021;1999;1999;11;0.7;0.3;30;50;250;0;0.0332806794;LT
RWZI   Losser;4630;7.01447;52.2618;1999;1999;1.49154398;0.7;0.3;11.8;50;250;0;0;LT
RWZI   Oldenzaal;4664;6.88966;52.3088;1999;1999;3.1870081;0.7;0.3;10.9;50;250;0;0;LT
RWZI   Holten;4689;6.41726;52.2472;1999;1999;3.28013889;0.7;0.3;30;50;250;0;0.0145817799;LT
RWZI   Rijssen;4690;6.52789;52.3178;1999;1999;2.05153819;0.7;0.3;10.9;50;250;0;0;LT
RWZI   Tubbergen;4736;6.76903;52.4085;1999;1999;0.670299769;0.7;0.3;9.44;50;250;0;0;LT
RWZI   Den Ham;4737;6.47937;52.465;1999;1999;0.336722222;0.7;0.3;8.66;50;250;0;0;LT
RWZI   Vriezenveen;4738;6.63072;52.4076;1999;1999;2.06629398;0.7;0.3;10.9;50;250;0;0;LT
RWZI   Vroomshoop;4739;6.56609;52.4473;1999;1999;1.07330208;0.7;0.3;12.5;50;250;0;0;LT
RWZI   Westerhaar;4740;6.61773;52.4544;1999;1999;11;0.7;0.3;30;50;250;0;0.0671311866;LT
Vrieshuis Bussink vof;4877;6.64708;52.3751;1999;1999;2;0.7;0.3;30;50;250;0;0.00713092105;LT
Postma Snelvries BV;4992;6.58839;52.2468;1999;1999;2;0.7;0.3;30;50;250;0;0.0872029895;LT
W_Gemaal_725;5380;6.67997;52.3638;1999;1999;2;0.7;0.3;30;50;250;0;0.166899592;LT
W_Gemaal_726;5381;6.68141;52.3629;1999;1999;2;0.7;0.3;30;50;250;0;0.166899592;LT
W_Gemaal_729;5382;6.68414;52.3557;1999;1999;2;0.7;0.3;30;50;250;0;0.453270947;LT
W_Gemaal_828;5395;6.82944;52.2192;1999;1999;2;0.7;0.3;30;50;250;0;0.00329510526;LT
W_Gemaal_42;5431;6.61483;52.3376;1999;1999;3;0.7;0.3;30;50;250;0;1.00009457;LT
W_Gemaal_1549;5648;6.505;52.1949;1999;1999;4;0.7;0.3;30;50;250;0;0.346842756;LT
InterDC  Enschede;7276;6.86434;52.2203;1999;1999;13;0.7;0.3;30;50;250;0;0.0136565587;LT
Tele2  POP   Enschede  Enschede;7277;6.84386;52.2386;1999;1999;13;0.7;0.3;30;50;250;0;0.0294605283;LT
Equinix   Equinix EN1;7278;6.84951;52.2371;1999;1999;13;0.7;0.3;30;50;250;0;0.0420736518;LT
Novoserve Twente;7279;6.82097;52.2163;1999;1999;13;0.7;0.3;30;50;250;0;0.0513620283;LT
Introweb;7302;6.77996;52.2848;1999;1999;13;0.7;0.3;30;50;250;0;0.00436178138;LT
KPN HGL C  Hengelo;7303;6.79571;52.2636;1999;1999;13;0.7;0.3;30;50;250;0;0.0772882713;LT
Previder   Barnsteenstraat;7304;6.76689;52.244;1999;1999;13;0.7;0.3;30;50;250;0;0.0213246559;LT
Previder   Expolaan;7305;6.76715;52.2853;1999;1999;13;0.7;0.3;30;50;250;0;0.0162998563;LT
Alticom Markelo  Markelo;7314;6.48948;52.2369;1999;1999;13;0.7;0.3;30;50;250;0;0.00697821862;LT
Alticom Markelo;7315;6.44166;52.2369;1999;1999;13;0.7;0.3;30;50;250;0;0.00182125506;LT
