Bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;Bron_vol;Bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
aldi;;4.85996;52.3257;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.38980259;LT
biotoop van swindenstraat bv;;4.92589;52.3622;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00439251;LT
brasserie van dam bv;;4.87073;52.3557;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
coop supermarkten bv;;4.78542;52.3554;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00328403;LT
coop supermarkten bv;;4.88969;52.354;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
de avondmarkt;;4.87645;52.3831;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
deen winkels bv;;4.89505;52.3435;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
deka supermarkten bv;;4.95193;52.3968;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
deka supermarkten bv;;4.81893;52.3764;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00543874;LT
detailconsult supermarkten bv;;4.84758;52.378;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
detailconsult supermarkten bv;;4.90466;52.347;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00032684;LT
geelhoed eetwinkel bv;;4.93156;52.3777;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00467181;LT
haducto bv;;4.88403;52.3849;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
jumbo supermarkten bv;;4.85515;52.3588;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
jumbo supermarkten bv;;4.93578;52.3991;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00026787;LT
kooistra supermarkt stiens bv;;4.85515;52.3588;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
kwb wittenburg bv;;4.91982;52.37;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00706718;LT
lidl nederland gmbh;;4.83987;52.3491;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.37029647;LT
lidl nederland gmbh;;4.79345;52.3567;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00328403;LT
lidl nederland gmbh;;4.92478;52.3505;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00688218;LT
lidl nederland gmbh;;4.91699;52.4078;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00190496;LT
lidl nederland gmbh;;4.87715;52.3645;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
lidl nederland gmbh;;4.85504;52.3587;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
lidl nederland gmbh;;4.94067;52.3614;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00273808;LT
marqt bv;;4.8979;52.3654;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.10726687;LT
marqt bv;;4.86602;52.346;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00163221;LT
marqt bv;;4.8851;52.3704;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.17597573;LT
pasteuning wijn   catering bv;;4.87782;52.3578;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
sean bv;;4.8681;52.3245;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.38980259;LT
slooten supermarkt bv;;4.91702;52.4078;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00190496;LT
stationsfoodstore bv;;4.91867;52.3467;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00744382;LT
stationsfoodstore bv;;4.948;52.3131;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
super west bv;;4.85789;52.3715;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00046276;LT
supermarkt peperkamp bv;;4.92381;52.3505;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00688218;LT
supermarkt reigersbos bv;;4.97612;52.2945;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00014407;LT
supermarkt verboom bv;;4.98755;52.2969;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00014407;LT
vomar voordeelmarkt bv;;4.84611;52.3793;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
vomar voordeelmarkt bv;;4.95555;52.315;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
vomar voordeelmarkt bv;;4.96326;52.2999;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00051775;LT
vomar voordeelmarkt bv;;4.92381;52.3505;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00688218;LT
warea bv;;4.95539;52.3928;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.66067;52.4826;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00394076;LT
vomar voordeelmarkt bv;;4.651;52.4889;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00394076;LT
nijenhuis supermarkt;;5.26521;52.2868;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.429584383;LT
supermarkt ton blaricum bv;;5.24368;52.2735;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0.131046938;LT
albert heijn bv;;4.60883;52.3907;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.53409167;LT
p  hulsbosch vof;;4.57513;52.3196;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00518469;LT
stach bv;;4.60754;52.388;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.53409167;LT
zwetsloot retail bv;;4.5996;52.3207;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.641068039;LT
