BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nr_OrgEntity
BU01640705;BU01640705;Bedrijventerrein Westermaat-Noordoost;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;0;172;352;False;5;0;0;5;0;0;20;4;60;635;930597;98740;155;281;1112
BU01640706;BU01640706;Bedrijventerrein Westermaat-Noordwest;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;2;17;599;False;3;0;0;3;0;0;37;0;76;708;1633486;44686;63;75;1113
BU01640800;BU01640800;Roershoek;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;995;25;1094;False;9;0;0;9;0;0;118;2;23;2797;2133202;750531;268;686;1114
BU01640801;BU01640801;Vossenbelt-Zuid;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;932;17;978;False;8;0;0;8;0;0;228;2;20;2139;1576992;565315;264;578;1115
BU01640802;BU01640802;Vossenbelt-Noord;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;845;29;931;False;13;0;1;8;4;0;232;2;22;2266;1630942;491734;217;529;1116
BU01640803;BU01640803;Het Broek;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;923;5;974;False;9;0;0;9;0;0;96;2;21;2304;1672987;529431;230;544;1117
BU01640804;BU01640804;Kristenbos;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;6;3;7;False;13;0;0;13;0;0;2;4;28;24;60872;17459;715;2795;1118
BU01640805;BU01640805;Dalmeden;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;208;1;209;False;11;0;0;11;0;0;20;2;22;610;325765;86214;141;414;1119
BU01640900;BU01640900;Beckum kern;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;210;15;306;False;10;0;0;10;0;0;99;2;27;1148;777642;231609;202;758;1120
BU01640901;BU01640901;Verspreide huizen Slangenbeek;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;18;2;19;False;15;0;0;15;0;0;2;3;27;73;80206;23897;329;1319;1121
BU01640902;BU01640902;Stadspark Weusthag-Noord;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;14;8;35;False;10;0;0;10;0;0;4;5;44;111;129965;16302;147;466;1122
BU01640903;BU01640903;Stadspark Weusthag-Zuid;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;43;15;216;False;6;0;0;6;0;0;13;2;34;663;529310;114674;173;533;1123
BU01640904;BU01640904;Verspreide huizen Driene;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;99;7;105;False;14;0;0;14;0;0;6;3;26;441;568546;180213;409;1719;1124
BU01640905;BU01640905;Verspreide huizen Twekkelo;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;36;61;118;False;9;0;0;9;0;0;6;6;26;542;382938;95496;176;809;1125
BU01640906;BU01640906;Verspreide huizen Oele;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;94;15;100;False;14;0;0;14;0;0;2;3;28;413;700574;187600;454;1894;1126
BU01640907;BU01640907;Verspreide huizen Woolde;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;23;2;24;False;14;0;0;14;0;0;1;3;26;92;198408;52637;570;2284;1127
BU01640909;BU01640909;Verspreide huizen Beckum;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;152;20;163;False;13;0;0;13;0;0;2;3;27;621;928648;252753;407;1557;1128
