BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H15_CO2_uitstoot;Woning_H16_Nat_meerkost;Woning_H17_Nat_meerkost_CO2;Woning_H18_Nat_meerkost_WEQ;Woning_H19_Waarde_hernieuwbaar_gas;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H15_CO2_uitstoot;Util_H16_Nat_meerkost;Util_H17_Nat_meerkost_CO2;Util_H18_Nat_meerkost_WEQ;Util_H19_Waarde_hernieuwbaar_gas;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;nr_OrgEntity
BU04060103;BU04060103;Westereng;WK040601;Wijk 01 Westereng;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1008;34;1109;False;44;27;8;1;0;9;571;44;0;37;11;0;0;-4;0;1567071;556;1414;0;0;0;0;0;0;1008;0;0;0;0;0;0;0;0;0;0;0;0;0;1008;18;990;0;0;0;0;6;2;0;0;1;3;37;6;0;37;5;0;0;-36;0;1567071;556;1414;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;34;980
BU04060204;BU04060204;Flevo;WK040602;Wijk 02 Buitenwijken;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;94;2;95;False;69;49;9;1;0;10;64;69;0;57;13;0;0;-1;0;214800;610;2283;0;0;0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;94;8;86;0;0;0;0;0;0;0;0;0;0;0;0;0;57;2;0;0;-59;0;214800;610;2283;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;981
BU04060205;BU04060205;Bikbergen;WK040602;Wijk 02 Buitenwijken;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;108;5;145;False;48;33;7;1;0;7;51;48;0;46;11;0;0;-8;0;257498;473;1780;0;0;0;0;0;0;108;0;0;0;0;0;0;0;0;0;0;0;0;0;108;5;103;0;0;0;0;25;6;0;0;4;14;8;25;0;46;18;0;0;-39;0;257498;473;1780;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;982
BU04060206;BU04060206;Crailo;WK040602;Wijk 02 Buitenwijken;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;150;16;362;False;29;21;4;1;0;4;60;29;0;41;7;0;0;-19;0;524706;363;1451;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;150;11;139;0;0;0;0;42;16;2;0;5;19;44;42;0;41;23;0;0;-22;0;524706;363;1451;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;16;983
BU04060307;BU04060307;Thames;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;32;3;35;False;60;41;8;1;0;9;26;60;0;53;12;0;0;-5;0;81120;672;2325;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;32;0;0;0;0;8;3;0;0;3;2;2;8;0;53;5;0;0;-50;0;81120;672;2325;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;984
BU04060308;BU04060308;IJzeren veld;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;63;6;67;False;62;43;9;1;0;9;48;62;0;53;12;0;0;-3;0;139339;573;2085;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;63;5;58;0;0;0;0;5;2;0;0;2;2;2;5;0;53;4;0;0;-52;0;139339;573;2085;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;6;985
BU04060327;BU04060327;Parrewijn;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;7;2;9;False;54;38;7;1;0;8;4;54;0;48;11;0;0;-5;0;15511;599;1855;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;6;0;0;0;0;15;3;0;0;3;8;0;15;0;48;11;0;0;-44;0;15511;599;1855;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;986
BU04060328;BU04060328;Tafelberger Heide;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1;1;2;False;58;42;7;1;0;8;1;58;0;49;11;0;0;-2;0;2649;608;2075;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;18;1;0;0;3;13;0;18;0;49;16;0;0;-48;0;2649;608;2075;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;987
BU04060329;BU04060329;Rijsbergen;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;4;3;36;False;6;4;1;0;0;1;5;6;0;14;3;0;0;-11;0;32790;507;925;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;37;9;0;0;5;22;10;37;0;14;26;0;0;-3;0;32790;507;925;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;988
BU04060330;BU04060330;Huizerhoogt;WK040603;Wijk 03 Erica en Tafelberg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;42;2;43;False;59;39;9;1;0;10;240;59;0;49;13;0;0;-2;0;75723;543;1764;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;42;3;39;0;0;0;0;2;1;0;0;1;0;4;2;0;49;2;0;0;-49;0;75723;543;1764;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;989
