BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04020604;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2463.03846;2251;212.038462;0;25;0;0;1;8;34;1700;5379;6420661;3579340;665;0;0;4796411.15;0;0;2335;0;0;0;5257
BU04020605;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2858.4;2403;455.4;0;29;0;0;2;13;40;1503;7686;8804538;4671639;608;0;0;6972108.88;0;0;2629;0;0;0;5258
BU04020606;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;216.623077;204;12.6230769;0;28;0;0;2;7;36;430;415;600501;281803;679;0;0;427631.655;0;0;208;0;0;0;5259
BU04020701;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;1031.49231;890;141.492308;0;31;0;0;2;9;43;1342;2931;3593188;2044983;698;0;0;2832415.86;0;0;928;0;0;0;5260
BU04020702;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;811.992308;767;44.9923077;0;30;0;0;2;8;41;1454;2160;2638649;1573096;728;0;0;1995892.13;0;0;849;0;0;0;5261
BU04020703;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;3926.90769;3684;242.907692;0;24;0;0;1;8;32;1347;7633;9982892;5863274;768;0;0;7617533.18;0;0;3960;0;0;0;5262
BU04020704;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;20.1307692;9;11.1307692;0;37;0;0;2;31;51;41;64;127557;66264;1029;0;0;100119.292;0;0;11;0;0;0;5263
BU04020801;WK040208;Hilversum;Noord-Holland Zuid;Noord-Holland;;1889.7;1827;62.7;0;29;0;0;2;7;39;715;4395;5340476;2916462;664;0;0;3904065;0;0;1913;0;0;0;5264
BU04020901;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;93.4538462;12;81.4538462;0;24;0;0;4;31;35;4;238;470005;54844;230;0;0;423674.054;0;0;34;0;0;0;5265
BU04020902;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;15.5769231;0;15.5769231;0;21;0;0;5;39;29;6;26;83148;20129;775;0;0;65974.1533;0;0;5;0;0;0;5266
