BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H15_CO2_uitstoot;Woning_H16_Nat_meerkost;Woning_H17_Nat_meerkost_CO2;Woning_H18_Nat_meerkost_WEQ;Woning_H19_Waarde_hernieuwbaar_gas;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H15_CO2_uitstoot;Util_H16_Nat_meerkost;Util_H17_Nat_meerkost_CO2;Util_H18_Nat_meerkost_WEQ;Util_H19_Waarde_hernieuwbaar_gas;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;nr_OrgEntity
BU19420301;BU19420301;Schimmellaan;WK194203;Spiegel;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;156;46;206;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1300
BU19420302;BU19420302;Boslaan;WK194203;Spiegel;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;518;33;676;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1301
BU19420303;BU19420303;Koedijk;WK194203;Spiegel;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;269;15;273;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1302
BU19420304;BU19420304;Kom van Bieghel;WK194203;Spiegel;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;697;123;935;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1303
BU19420305;BU19420305;Meijerkamp;WK194203;Spiegel;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;213;20;239;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1304
BU19420306;BU19420306;Fransekamp;WK194203;Spiegel;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;108;24;351;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1305
BU19420400;BU19420400;Vesting Muiden;WK194204;Muiden;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;645;74;757;False;36;21;7;1;0;8;701;36;0;0;17;0;9;11;0;1239823;708;1639;0;0;475;0;170;0;0;0;0;0;0;170;0;0;0;0;0;0;0;0;0;13;632;0;0;0;0;12;3;0;0;3;6;82;12;0;0;9;0;9;-5;0;1239823;708;1639;0;0;45;0;29;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;1306
BU19420401;BU19420401;Krijgsman;WK194204;Muiden;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;595;45;628;False;40;23;8;1;0;9;162;40;0;0;18;0;4;18;0;633397;492;1009;0;0;526;0;69;0;0;0;0;0;0;69;0;0;0;0;0;0;0;0;0;141;454;0;0;0;0;4;1;0;0;1;2;6;4;0;0;3;0;4;-4;0;633397;492;1009;0;0;33;0;12;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;1307
BU19420402;BU19420402;Muiderberg;WK194204;Muiden;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;774;228;861;False;43;25;7;1;0;9;191;43;0;0;19;0;3;20;0;1040620;505;1210;0;0;698;0;76;0;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;81;693;0;0;0;0;8;2;0;0;2;4;14;8;0;0;5;0;3;0;0;1040620;505;1210;0;0;218;0;10;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1308
BU19420403;BU19420403;Mariahoeve Muiden;WK194204;Muiden;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;324;28;341;False;43;25;8;1;0;9;620;43;0;0;20;0;3;21;0;314454;429;923;0;0;301;0;23;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;2;322;0;0;0;0;5;1;0;0;1;3;26;5;0;0;4;0;3;-1;0;314454;429;923;0;0;26;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1309
BU19420404;BU19420404;Buitendijken Muiderberg;WK194204;Muiden;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;527;34;538;False;40;22;8;0;0;10;868;40;0;0;18;0;2;19;0;433509;432;806;0;0;476;0;51;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;13;514;0;0;0;0;1;0;0;0;0;1;8;1;0;0;1;0;2;-2;0;433509;432;806;0;0;32;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1310
BU19420408;BU19420408;Pampusweg;WK194204;Muiden;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;4;31;158;False;2;1;0;0;0;0;1;2;0;0;3;9;0;-11;0;156530;902;991;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;96;18;1;0;7;70;15;96;0;0;76;9;0;10;0;156530;902;991;0;0;18;0;13;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;1311
BU19420409;BU19420409;IJmeer;WK194204;Muiden;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;1;0;1;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1312
BU19420410;BU19420410;Noordpolder;WK194204;Muiden;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;74;17;139;False;30;20;5;1;0;5;5;30;0;0;14;0;6;10;0;131422;358;951;0;0;73;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;68;0;0;0;0;45;11;1;0;7;27;2;45;0;0;31;0;6;7;0;131422;358;951;0;0;13;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1313
BU19420501;BU19420501;Naarden Vesting;WK194205;Naarden;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;840;232;1148;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;840;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1314
