BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04020905;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;567.946154;134;433.946154;10;0;0;5;2;28;15;11;1653;842606;-312584;-189;300163.28;34422.7986;666796.701;153;68;0;0;0;0;5269
BU04020906;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;9.47692308;6;3.47692308;37;0;14;2;9;20;53;5;20;55733;-5143;-258;19643.1142;1703.29604;57612.0404;6;1;0;1;0;0;5270
BU04020907;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;23.8769231;4;19.8769231;9;0;0;4;7;49;13;1;49;59001;-10072;-205;11503.9693;1056.08333;48843.1041;6;5;0;0;0;0;5271
BU04060001;WK040600;Huizen;Noord-Holland Zuid;Noord-Holland;;2155.90769;1673;482.907692;32;0;0;1;2;23;33;1205;2163;3250590;-333836;-154;3810449.28;433248.738;2219861.08;1745;157;0;0;0;0;5346
BU04060002;WK040600;Huizen;Noord-Holland Zuid;Noord-Holland;RestWarmte;1327.33077;1250;77.3307692;12;41;0;0;2;13;53;1501;2776;1746492;-168822;-61;0;297317.724;725949.449;0;0;1316;0;0;0;5347
BU04060103;WK040601;Huizen;Noord-Holland Zuid;Noord-Holland;;1108.48462;1008;100.484615;41;0;0;0;2;14;41;680;708;1696491;-85795;-121;2512721.25;273248.921;1248473.98;1021;21;0;0;0;0;5348
BU04060204;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;94.0923077;94;0.0923076923;63;0;0;0;3;12;63;69;59;323992;-1914;-32;328873.51;27064.3632;303480.362;95;1;0;0;0;0;5349
BU04060205;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;144.846154;109;35.8461538;44;0;0;1;2;24;45;58;271;365666;-48370;-178;358569.528;30715.369;315261.118;109;4;0;0;0;0;5350
BU04060206;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;360.592308;149;211.592308;26;0;29;1;2;26;56;136;1246;732070;-293389;-236;532378.384;42320.4232;632590.168;151;13;0;1;0;0;5351
BU04060307;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;34.8923077;32;2.89230769;56;0;0;1;3;14;57;29;30;111156;-2614;-87;108548.523;8881.9518;103540.773;34;1;0;0;0;0;5352
BU04060308;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;66.8307692;63;3.83076923;58;0;0;0;3;14;58;54;59;189255;-3220;-55;215978.774;17502.2211;170880.789;65;4;0;0;0;0;5353
